MessageID,Replies
1039915900328200000,37
1039944457808830000,37
976578414860697000,34
972468169431535000,24
1044316184202460000,22
1042098558340650000,21
1038942488306870000,19
976380185586032000,17
1045040608258080000,16
971842231509442000,16
972234471440297000,16
1040332947797230000,15
1044781370222920000,15
972676056409808000,15
1040220855400380000,14
1043126336473050000,13
1045140647806680000,13
1040208235758670000,11
1043069852540450000,10
1043162244006140000,10
1045267609107800000,10
972224717137612000,10
972673128399867000,10
974464684928614000,10
1039226118988010000,9
1039655923541860000,9
1043119645132080000,9
1044911841611100000,9
971529047925719000,9
973661377591091000,9
975346628113596000,9
975350027169206000,9
977648619137335000,9
1039290669821380000,8
1040217897703020000,8
1043031573145080000,8
1043447489997740000,8
1044885530591330000,8
1045036575200030000,8
1045050588977910000,8
971553212200300000,8
972083358250479000,8
973303458731315000,8
973360355790479000,8
973549481311399000,8
973745181324296000,8
974061277713608000,8
974859881827258000,8
977875057572745000,8
1039307204925500000,7
1040081247161260000,7
1040198906842420000,7
1040274712268550000,7
1040730663832490000,7
1043254283955770000,7
1045037929100270000,7
975232845621972000,7
977872899792089000,7
1039771326620330000,6
1040216975530700000,6
1044255112905010000,6
1045038599777990000,6
1045130922004230000,6
972137872886304000,6
972853747750711000,6
974276383051583000,6
974978856997224000,6
975062797162811000,6
976579338605879000,6
976716771070652000,6
976765417908776000,6
976984422590300000,6
977904367524372000,6
1039115242465370000,5
1039393422656770000,5
1039470755816370000,5
1039493171393250000,5
1039549668974190000,5
1039687158456630000,5
1039823496501760000,5
1039825481653210000,5
1039828966595610000,5
1040007679505120000,5
1040298233359200000,5
1040437779057040000,5
1040799409670370000,5
1040864162245730000,5
1042847047504850000,5
1043214112409320000,5
1043585537058180000,5
1044598922730240000,5
1044935810741660000,5
1045199132204440000,5
1045213215334870000,5
1045279448046730000,5
965988744460464000,5
971516049563766000,5
972117548706795000,5
972120580110643000,5
972639025642311000,5
973931154796457000,5
975788175720239000,5
976167663075381000,5
976770619424563000,5
976888389046886000,5
978249938743234000,5
978355010420527000,5
978701966456082000,5
978725513538785000,5
1022028017252660000,4
1038350795937210000,4
1038935593013710000,4
1039253572628690000,4
1039337849546570000,4
1039339782042600000,4
1039693872396460000,4
1039863823392560000,4
1039892442529570000,4
1039910722845790000,4
1039944993358530000,4
1040004168021360000,4
1040092216750990000,4
1040142339895950000,4
1040288148318690000,4
1040307190580610000,4
1042750648641630000,4
1042843537853870000,4
1042938503837800000,4
1042955555642510000,4
1043185120042260000,4
1043205584508670000,4
1043291945513020000,4
1043348132657020000,4
1043351360291310000,4
1043513262036470000,4
1043532618904610000,4
1043535602833140000,4
1043581893101270000,4
1043889168647170000,4
1044024086517750000,4
1044449334996220000,4
1044457301552370000,4
1044691368168350000,4
1044973321769680000,4
1044991766309620000,4
1045039133280880000,4
1045098909352230000,4
1045134947328100000,4
1045303116466400000,4
971819117719244000,4
971936157561843000,4
972502270050004000,4
972558971692310000,4
972647673944780000,4
972771663073988000,4
973321161655205000,4
973467702206623000,4
973738925305901000,4
973933734851432000,4
974311979555811000,4
974355225510273000,4
975015158358724000,4
975123558803259000,4
975161919005954000,4
975713195632611000,4
975792660630794000,4
975976193945059000,4
975987926231220000,4
976502399685799000,4
976783047830851000,4
977855968364171000,4
978130588237377000,4
978286784227393000,4
978619002351243000,4
1038950844840860000,3
1039140112771120000,3
1039186687535000000,3
1039285867779510000,3
1039388668534940000,3
1039472213588470000,3
1039483479363390000,3
1039498334594050000,3
1039506618524800000,3
1039525047348740000,3
1039557004166130000,3
1039557272987420000,3
1039566225775480000,3
1039608725819080000,3
1039616862609440000,3
1039637462186900000,3
1039696924809420000,3
1039728904984920000,3
1039766282663580000,3
1039804152543510000,3
1039876181745490000,3
1039894875624420000,3
1039904010256470000,3
1040010006148640000,3
1040044482832470000,3
1040062764264220000,3
1040064191820750000,3
1040159723926860000,3
1040174283551510000,3
1040196230431870000,3
1040215778010830000,3
1040215967735920000,3
1040242677877550000,3
1040323020286380000,3
1040326750868320000,3
1040334291505420000,3
1040365433675700000,3
1040391389190720000,3
1040422837327200000,3
1040462769894680000,3
1040526883388110000,3
1040553586185290000,3
1040575890139340000,3
1040593149712910000,3
1040627012761600000,3
1040718730811110000,3
1040760021443850000,3
1040782594797780000,3
1040788151000880000,3
1042081515423900000,3
1042865065161090000,3
1042885837061580000,3
1042970438496930000,3
1042978137217400000,3
1043117304152810000,3
1043165353893940000,3
1043168124781180000,3
1043172731519260000,3
1043178472783460000,3
1043218736726000000,3
1043226806818610000,3
1043272422164780000,3
1043344767684360000,3
1043534669483040000,3
1043792510160690000,3
1043833437382100000,3
1043891390382550000,3
1044003409047810000,3
1044003818319490000,3
1044014125343430000,3
1044023255496080000,3
1044025613391180000,3
1044037217050590000,3
1044038483478760000,3
1044269053274190000,3
1044290847527880000,3
1044340114372070000,3
1044404412121250000,3
1044408570123620000,3
1044415858465000000,3
1044453415689090000,3
1044504946664770000,3
1044575765109620000,3
1044597714074440000,3
1044598767763230000,3
1044660519565540000,3
1044677181941530000,3
1044716944715320000,3
1044727740560280000,3
1044728042499820000,3
1044739437660420000,3
1044774873355240000,3
1044883283530720000,3
1044918343520720000,3
1044987068743640000,3
1044997722410030000,3
1044999438262050000,3
1045002389449780000,3
1045006445803160000,3
1045033744699180000,3
1045036131056790000,3
1045041376289780000,3
1045045159208070000,3
1045067905325560000,3
1045082572076840000,3
1045132436831690000,3
1045141658663150000,3
1045269792486280000,3
1045292659970130000,3
1045295249017520000,3
1045301620337040000,3
1045328282080730000,3
920205030589902000,3
952957521240604000,3
966394967433375000,3
968637380906270000,3
970128357546430000,3
971521056895897000,3
971531501232799000,3
971532022387740000,3
971726862526361000,3
971870502204727000,3
971931124380258000,3
971991841733189000,3
972099487748378000,3
972161936073940000,3
972264118387429000,3
972585290857672000,3
972679720851595000,3
972811533024546000,3
973000211693031000,3
973021775083614000,3
973127728412217000,3
973178293276028000,3
973281707406315000,3
973304741529903000,3
973356764782612000,3
973502920074330000,3
973580538358374000,3
973663811453538000,3
973674698293764000,3
973716219353358000,3
973719038982479000,3
973818492460982000,3
973835098742247000,3
973914141156102000,3
973916635483402000,3
974042411100966000,3
974048846153179000,3
974129733272129000,3
974137140564013000,3
974149861070295000,3
974225043323486000,3
974450512811712000,3
974461756163715000,3
974528929473024000,3
974579448480755000,3
974679739062456000,3
974703630518398000,3
974730971927973000,3
974739271658729000,3
974762813481738000,3
974851712476504000,3
974866390384508000,3
974872056536993000,3
974896853547388000,3
975040503929561000,3
975048598583955000,3
975072625931276000,3
975157126099124000,3
975218110889209000,3
975776998793478000,3
975779874437844000,3
975796049380917000,3
975804950642008000,3
975891861863829000,3
976190607109505000,3
976357932169289000,3
976415945714556000,3
976432326136778000,3
976489411662753000,3
976494956352122000,3
976689472958967000,3
976903829269590000,3
976947354178916000,3
977286489410240000,3
977769247052124000,3
977858212635594000,3
977989579650289000,3
978226474485534000,3
978342155780481000,3
978441039743664000,3
978570515966291000,3
978702021607002000,3
1033395434360720000,2
1034138144382360000,2
1038569772793970000,2
1038628827130350000,2
1039001531482350000,2
1039170880830660000,2
1039183558093360000,2
1039198464213700000,2
1039235201786930000,2
